[    0.192,    15.136]; seg_len = 14.944; step_len =  0.000; score =  0.106;    1
[    1.600,    16.544]; seg_len = 14.944; step_len =  1.408; score =  0.106;    1
[    2.176,    16.832]; seg_len = 14.656; step_len =  0.576; score =  0.106;    1
[    3.328,    18.080]; seg_len = 14.752; step_len =  1.152; score =  0.106;    1
[    4.160,    19.040]; seg_len = 14.880; step_len =  0.832; score =  0.106;    1
[    5.280,    20.192]; seg_len = 14.912; step_len =  1.120; score =  0.106;    1
[    6.144,    21.088]; seg_len = 14.944; step_len =  0.864; score =  0.106;    1
[    7.200,    22.144]; seg_len = 14.944; step_len =  1.056; score =  0.106;    1
[    8.448,    23.360]; seg_len = 14.912; step_len =  1.248; score =  0.106;    1
[    9.120,    24.064]; seg_len = 14.944; step_len =  0.672; score =  0.106;    1
[   10.272,    25.152]; seg_len = 14.880; step_len =  1.152; score =  0.106;    1
[   11.104,    26.048]; seg_len = 14.944; step_len =  0.832; score =  0.106;    1
[   12.096,    26.944]; seg_len = 14.848; step_len =  0.992; score =  0.106;    1
[   13.088,    28.000]; seg_len = 14.912; step_len =  0.992; score =  0.106;    1
[   14.144,    29.088]; seg_len = 14.944; step_len =  1.056; score =  0.106;    1
[   15.072,    29.728]; seg_len = 14.656; step_len =  0.928; score =  0.106;    1
[   16.064,    31.008]; seg_len = 14.944; step_len =  0.992; score =  0.106;    1
[   17.888,    32.800]; seg_len = 14.912; step_len =  1.824; score =  0.106;    1
[   18.048,    32.800]; seg_len = 14.752; step_len =  0.160; score =  0.106;    1
[   19.040,    33.984]; seg_len = 14.944; step_len =  0.992; score =  0.106;    1
[   20.032,    34.976]; seg_len = 14.944; step_len =  0.992; score =  0.106;    1
[   21.024,    35.840]; seg_len = 14.816; step_len =  0.992; score =  0.106;    1
[   22.080,    37.024]; seg_len = 14.944; step_len =  1.056; score =  0.106;    1
[   23.008,    37.952]; seg_len = 14.944; step_len =  0.928; score =  0.106;    1
[   24.000,    38.944]; seg_len = 14.944; step_len =  0.992; score =  0.106;    1
[   25.024,    39.936]; seg_len = 14.912; step_len =  1.024; score =  0.106;    1
[   26.048,    40.992]; seg_len = 14.944; step_len =  1.024; score =  0.106;    1
[   27.072,    41.888]; seg_len = 14.816; step_len =  1.024; score =  0.106;    1
[   27.968,    42.912]; seg_len = 14.944; step_len =  0.896; score =  0.106;    1
[   29.088,    44.032]; seg_len = 14.944; step_len =  1.120; score =  0.106;    1
[   30.240,    44.896]; seg_len = 14.656; step_len =  1.152; score =  0.106;    1
[   30.944,    45.888]; seg_len = 14.944; step_len =  0.704; score =  0.106;    1
[   31.936,    46.368]; seg_len = 14.432; step_len =  0.992; score =  0.106;    1
[   33.152,    47.328]; seg_len = 14.176; step_len =  1.216; score =  0.106;    1
[   33.952,    48.896]; seg_len = 14.944; step_len =  0.800; score =  0.106;    1
[   34.944,    49.536]; seg_len = 14.592; step_len =  0.992; score =  0.106;    1
[   36.384,    51.296]; seg_len = 14.912; step_len =  1.440; score =  0.106;    1
[   36.928,    51.488]; seg_len = 14.560; step_len =  0.544; score =  0.106;    1
[   37.888,    51.488]; seg_len = 13.600; step_len =  0.960; score =  0.000;    0
[   38.880,    53.792]; seg_len = 14.912; step_len =  0.992; score =  0.000;    0
[   39.872,    54.720]; seg_len = 14.848; step_len =  0.992; score =  0.000;    0
[   40.896,    55.840]; seg_len = 14.944; step_len =  1.024; score =  0.000;    0
[   41.856,    56.800]; seg_len = 14.944; step_len =  0.960; score =  0.000;    0
[   42.880,    57.792]; seg_len = 14.912; step_len =  1.024; score =  0.106;    1
[   43.840,    58.752]; seg_len = 14.912; step_len =  0.960; score =  0.106;    1
[   44.896,    59.840]; seg_len = 14.944; step_len =  1.056; score =  0.106;    1
[   45.888,    60.832]; seg_len = 14.944; step_len =  0.992; score =  0.106;    1
[   47.328,    62.112]; seg_len = 14.784; step_len =  1.440; score =  0.106;    1
[   48.768,    63.712]; seg_len = 14.944; step_len =  1.440; score =  0.106;    1
[   48.800,    63.744]; seg_len = 14.944; step_len =  0.032; score =  0.106;    1
[   49.920,    64.864]; seg_len = 14.944; step_len =  1.120; score =  0.106;    1
[   50.784,    65.728]; seg_len = 14.944; step_len =  0.864; score =  0.106;    1
[   53.728,    67.360]; seg_len = 13.632; step_len =  2.944; score =  0.106;    1
[   53.728,    67.360]; seg_len = 13.632; step_len =  0.000; score =  0.106;    1
[   53.760,    68.704]; seg_len = 14.944; step_len =  0.032; score =  0.106;    1
[   55.072,    70.016]; seg_len = 14.944; step_len =  1.312; score =  0.106;    1
[   55.776,    70.720]; seg_len = 14.944; step_len =  0.704; score =  0.106;    1
[   56.768,    71.584]; seg_len = 14.816; step_len =  0.992; score =  0.106;    1
[   57.760,    72.704]; seg_len = 14.944; step_len =  0.992; score =  0.106;    1
[   58.720,    73.440]; seg_len = 14.720; step_len =  0.960; score =  0.106;    1
[   59.712,    74.304]; seg_len = 14.592; step_len =  0.992; score =  0.106;    1
[   60.800,    75.488]; seg_len = 14.688; step_len =  1.088; score =  0.106;    1
[   61.696,    76.640]; seg_len = 14.944; step_len =  0.896; score =  0.106;    1
[   62.688,    77.536]; seg_len = 14.848; step_len =  0.992; score =  0.212;    2
[   63.712,    78.656]; seg_len = 14.944; step_len =  1.024; score =  0.212;    2
[   64.672,    79.392]; seg_len = 14.720; step_len =  0.960; score =  0.212;    2
