[    0.192,     4.832]; seg_len =  4.640; step_len =  0.000; score =  0.000;    0
[    1.600,     6.464]; seg_len =  4.864; step_len =  1.408; score =  0.000;    0
[    2.176,     7.040]; seg_len =  4.864; step_len =  0.576; score =  0.000;    0
[    3.328,     8.000]; seg_len =  4.672; step_len =  1.152; score =  0.000;    0
[    4.160,     9.120]; seg_len =  4.960; step_len =  0.832; score =  0.313;    1
[    5.280,     9.920]; seg_len =  4.640; step_len =  1.120; score =  0.313;    1
[    6.144,    11.104]; seg_len =  4.960; step_len =  0.864; score =  0.313;    1
[    7.200,    12.096]; seg_len =  4.896; step_len =  1.056; score =  0.313;    1
[    8.448,    13.344]; seg_len =  4.896; step_len =  1.248; score =  0.313;    1
[    9.120,    13.984]; seg_len =  4.864; step_len =  0.672; score =  0.000;    0
[   10.272,    15.168]; seg_len =  4.896; step_len =  1.152; score =  0.000;    0
[   11.104,    16.064]; seg_len =  4.960; step_len =  0.832; score =  0.000;    0
[   12.096,    16.832]; seg_len =  4.736; step_len =  0.992; score =  0.000;    0
[   13.088,    18.048]; seg_len =  4.960; step_len =  0.992; score =  0.000;    0
[   14.144,    19.040]; seg_len =  4.896; step_len =  1.056; score =  0.000;    0
[   15.072,    20.032]; seg_len =  4.960; step_len =  0.928; score =  0.000;    0
[   16.064,    21.024]; seg_len =  4.960; step_len =  0.992; score =  0.000;    0
[   17.888,    22.784]; seg_len =  4.896; step_len =  1.824; score =  0.000;    0
[   18.048,    23.008]; seg_len =  4.960; step_len =  0.160; score =  0.000;    0
[   19.040,    24.000]; seg_len =  4.960; step_len =  0.992; score =  0.000;    0
[   20.032,    24.864]; seg_len =  4.832; step_len =  0.992; score =  0.000;    0
[   21.024,    25.920]; seg_len =  4.896; step_len =  0.992; score =  0.000;    0
[   22.080,    26.944]; seg_len =  4.864; step_len =  1.056; score =  0.000;    0
[   23.008,    27.968]; seg_len =  4.960; step_len =  0.928; score =  0.000;    0
[   24.000,    28.864]; seg_len =  4.864; step_len =  0.992; score =  0.000;    0
[   25.024,    29.728]; seg_len =  4.704; step_len =  1.024; score =  0.000;    0
[   26.048,    31.008]; seg_len =  4.960; step_len =  1.024; score =  0.000;    0
[   27.072,    31.968]; seg_len =  4.896; step_len =  1.024; score =  0.000;    0
[   27.968,    32.800]; seg_len =  4.832; step_len =  0.896; score =  0.000;    0
[   29.088,    34.048]; seg_len =  4.960; step_len =  1.120; score =  0.000;    0
[   30.240,    35.200]; seg_len =  4.960; step_len =  1.152; score =  0.000;    0
[   30.944,    35.840]; seg_len =  4.896; step_len =  0.704; score =  0.000;    0
[   31.936,    36.864]; seg_len =  4.928; step_len =  0.992; score =  0.000;    0
