[    0.192,     9.920]; seg_len1 =  9.728; step_len1 =  0.000; [    0.608,    10.336]; seg_len2 =  9.728; step_len2 =  0.000; start_diff = -0.416; step_diff =  0.000; score = 32.1244;  434
[    1.600,    11.552]; seg_len1 =  9.952; step_len1 =  1.408; [    1.984,    11.936]; seg_len2 =  9.952; step_len2 =  1.376; start_diff = -0.384; step_diff =  0.032; score = 31.4572;  503
[    2.176,    12.096]; seg_len1 =  9.920; step_len1 =  0.576; [    2.592,    12.384]; seg_len2 =  9.792; step_len2 =  0.608; start_diff = -0.416; step_diff = -0.032; score = 30.9708;  520
[    3.328,    13.248]; seg_len1 =  9.920; step_len1 =  1.152; [    3.584,    13.344]; seg_len2 =  9.760; step_len2 =  0.992; start_diff = -0.256; step_diff =  0.160; score = 29.7487;  509
[    4.160,    13.984]; seg_len1 =  9.824; step_len1 =  0.832; [    4.640,    14.560]; seg_len2 =  9.920; step_len2 =  1.056; start_diff = -0.480; step_diff = -0.224; score = 29.8987;  502
[    5.280,    15.168]; seg_len1 =  9.888; step_len1 =  1.120; [    5.792,    15.680]; seg_len2 =  9.888; step_len2 =  1.152; start_diff = -0.512; step_diff = -0.032; score = 29.7764;  466
[    6.144,    16.096]; seg_len1 =  9.952; step_len1 =  0.864; [    6.624,    16.192]; seg_len2 =  9.568; step_len2 =  0.832; start_diff = -0.480; step_diff =  0.032; score = 29.6005;  452
[    7.200,    16.832]; seg_len1 =  9.632; step_len1 =  1.056; [    7.744,    17.696]; seg_len2 =  9.952; step_len2 =  1.120; start_diff = -0.544; step_diff = -0.064; score = 30.7375;  521
[    8.448,    18.368]; seg_len1 =  9.920; step_len1 =  1.248; [    8.736,    18.560]; seg_len2 =  9.824; step_len2 =  0.992; start_diff = -0.288; step_diff =  0.256; score = 32.6073;  524
[    9.120,    19.040]; seg_len1 =  9.920; step_len1 =  0.672; [    9.664,    19.616]; seg_len2 =  9.952; step_len2 =  0.928; start_diff = -0.544; step_diff = -0.256; score = 29.9023;  459
[   10.272,    20.192]; seg_len1 =  9.920; step_len1 =  1.152; [   10.912,    20.800]; seg_len2 =  9.888; step_len2 =  1.248; start_diff = -0.640; step_diff = -0.096; score = 26.7970;  425
[   11.104,    21.056]; seg_len1 =  9.952; step_len1 =  0.832; [   11.520,    21.472]; seg_len2 =  9.952; step_len2 =  0.608; start_diff = -0.416; step_diff =  0.224; score = 23.7895;  339
[   12.096,    21.984]; seg_len1 =  9.888; step_len1 =  0.992; [   12.608,    22.464]; seg_len2 =  9.856; step_len2 =  1.088; start_diff = -0.512; step_diff = -0.096; score = 25.0000;  327
[   13.088,    23.040]; seg_len1 =  9.952; step_len1 =  0.992; [   13.568,    23.520]; seg_len2 =  9.952; step_len2 =  0.960; start_diff = -0.480; step_diff =  0.032; score = 28.7682;  355
