[    0.192,    15.136]; seg_len1 = 14.944; step_len1 =  0.000; [    0.608,    15.552]; seg_len2 = 14.944; step_len2 =  0.000; start_diff = -0.416; step_diff =  0.000; score = 34.9590;  767
[    1.600,    16.544]; seg_len1 = 14.944; step_len1 =  1.408; [    1.984,    16.928]; seg_len2 = 14.944; step_len2 =  1.376; start_diff = -0.384; step_diff =  0.032; score = 34.1325;  840
[    2.176,    16.832]; seg_len1 = 14.656; step_len1 =  0.576; [    2.592,    17.536]; seg_len2 = 14.944; step_len2 =  0.608; start_diff = -0.416; step_diff = -0.032; score = 33.7816;  854
[    3.328,    18.080]; seg_len1 = 14.752; step_len1 =  1.152; [    3.584,    18.528]; seg_len2 = 14.944; step_len2 =  0.992; start_diff = -0.256; step_diff =  0.160; score = 32.3077;  798
[    4.160,    19.040]; seg_len1 = 14.880; step_len1 =  0.832; [    4.640,    19.520]; seg_len2 = 14.880; step_len2 =  1.056; start_diff = -0.480; step_diff = -0.224; score = 31.8011;  761
[    5.280,    20.192]; seg_len1 = 14.912; step_len1 =  1.120; [    5.792,    20.544]; seg_len2 = 14.752; step_len2 =  1.152; start_diff = -0.512; step_diff = -0.032; score = 30.3243;  692
[    6.144,    21.088]; seg_len1 = 14.944; step_len1 =  0.864; [    6.624,    21.504]; seg_len2 = 14.880; step_len2 =  0.832; start_diff = -0.480; step_diff =  0.032; score = 29.9954;  659
[    7.200,    22.144]; seg_len1 = 14.944; step_len1 =  1.056; [    7.744,    22.656]; seg_len2 = 14.912; step_len2 =  1.120; start_diff = -0.544; step_diff = -0.064; score = 30.6084;  644
[    8.448,    23.360]; seg_len1 = 14.912; step_len1 =  1.248; [    8.736,    23.648]; seg_len2 = 14.912; step_len2 =  0.992; start_diff = -0.288; step_diff =  0.256; score = 32.5203;  680
[    9.120,    24.064]; seg_len1 = 14.944; step_len1 =  0.672; [    9.664,    24.608]; seg_len2 = 14.944; step_len2 =  0.928; start_diff = -0.544; step_diff = -0.256; score = 31.0886;  614
[   10.272,    25.152]; seg_len1 = 14.880; step_len1 =  1.152; [   10.912,    25.824]; seg_len2 = 14.912; step_len2 =  1.248; start_diff = -0.640; step_diff = -0.096; score = 29.5964;  594
[   11.104,    26.048]; seg_len1 = 14.944; step_len1 =  0.832; [   11.520,    26.432]; seg_len2 = 14.912; step_len2 =  0.608; start_diff = -0.416; step_diff =  0.224; score = 28.6243;  541
[   12.096,    26.944]; seg_len1 = 14.848; step_len1 =  0.992; [   12.608,    27.552]; seg_len2 = 14.944; step_len2 =  1.088; start_diff = -0.512; step_diff = -0.096; score = 29.9003;  540
[   13.088,    28.000]; seg_len1 = 14.912; step_len1 =  0.992; [   13.568,    28.512]; seg_len2 = 14.944; step_len2 =  0.960; start_diff = -0.480; step_diff =  0.032; score = 33.4708;  568
[   14.144,    29.088]; seg_len1 = 14.944; step_len1 =  1.056; [   14.560,    29.408]; seg_len2 = 14.848; step_len2 =  0.992; start_diff = -0.416; step_diff =  0.064; score = 34.0012;  560
[   15.072,    29.728]; seg_len1 = 14.656; step_len1 =  0.928; [   15.552,    30.496]; seg_len2 = 14.944; step_len2 =  0.992; start_diff = -0.480; step_diff = -0.064; score = 28.8942;  486
[   16.064,    31.008]; seg_len1 = 14.944; step_len1 =  0.992; [   16.608,    31.520]; seg_len2 = 14.912; step_len2 =  1.056; start_diff = -0.544; step_diff = -0.064; score = 29.4009;  476
[   17.888,    32.800]; seg_len1 = 14.912; step_len1 =  1.824; [   17.536,    32.416]; seg_len2 = 14.880; step_len2 =  0.928; start_diff =  0.352; step_diff =  0.896; score = 34.0112;  485
[   18.048,    32.800]; seg_len1 = 14.752; step_len1 =  0.160; [   18.464,    33.280]; seg_len2 = 14.816; step_len2 =  0.928; start_diff = -0.416; step_diff = -0.768; score = 36.5243;  496
[   19.040,    33.984]; seg_len1 = 14.944; step_len1 =  0.992; [   19.520,    34.432]; seg_len2 = 14.912; step_len2 =  1.056; start_diff = -0.480; step_diff = -0.064; score = 40.9417;  513
