[    0.192,    40.160]; seg_len1 = 39.968; step_len1 =  0.000; [    0.608,    40.480]; seg_len2 = 39.872; step_len2 =  0.000; start_diff = -0.416; step_diff =  0.000; score = 35.5645; 1679
[    1.600,    41.536]; seg_len1 = 39.936; step_len1 =  1.408; [    1.984,    41.952]; seg_len2 = 39.968; step_len2 =  1.376; start_diff = -0.384; step_diff =  0.032; score = 34.5539; 1708
[    2.176,    42.144]; seg_len1 = 39.968; step_len1 =  0.576; [    2.592,    42.560]; seg_len2 = 39.968; step_len2 =  0.608; start_diff = -0.416; step_diff = -0.032; score = 34.1320; 1681
[    3.328,    43.232]; seg_len1 = 39.904; step_len1 =  1.152; [    3.584,    43.552]; seg_len2 = 39.968; step_len2 =  0.992; start_diff = -0.256; step_diff =  0.160; score = 32.9326; 1589
[    4.160,    44.096]; seg_len1 = 39.936; step_len1 =  0.832; [    4.640,    44.608]; seg_len2 = 39.968; step_len2 =  1.056; start_diff = -0.480; step_diff = -0.224; score = 32.9502; 1548
[    5.280,    44.896]; seg_len1 = 39.616; step_len1 =  1.120; [    5.792,    45.600]; seg_len2 = 39.808; step_len2 =  1.152; start_diff = -0.512; step_diff = -0.032; score = 32.5617; 1477
[    6.144,    46.112]; seg_len1 = 39.968; step_len1 =  0.864; [    6.624,    46.560]; seg_len2 = 39.936; step_len2 =  0.832; start_diff = -0.480; step_diff =  0.032; score = 32.6794; 1466
[    7.200,    46.368]; seg_len1 = 39.168; step_len1 =  1.056; [    7.744,    47.392]; seg_len2 = 39.648; step_len2 =  1.120; start_diff = -0.544; step_diff = -0.064; score = 32.0720; 1407
[    8.448,    47.328]; seg_len1 = 38.880; step_len1 =  1.248; [    8.736,    48.512]; seg_len2 = 39.776; step_len2 =  0.992; start_diff = -0.288; step_diff =  0.256; score = 32.9231; 1391
[    9.120,    49.088]; seg_len1 = 39.968; step_len1 =  0.672; [    9.664,    48.512]; seg_len2 = 38.848; step_len2 =  0.928; start_diff = -0.544; step_diff = -0.256; score = 32.1006; 1302
[   10.272,    50.240]; seg_len1 = 39.968; step_len1 =  1.152; [   10.912,    48.512]; seg_len2 = 37.600; step_len2 =  1.248; start_diff = -0.640; step_diff = -0.096; score = 31.3627; 1252
