[    0.192,     4.832]; seg_len1 =  4.640; step_len1 =  0.000; [    0.608,     5.344]; seg_len2 =  4.736; step_len2 =  0.000; start_diff = -0.416; step_diff =  0.000; score = 24.5370;  159
[    1.600,     6.464]; seg_len1 =  4.864; step_len1 =  1.408; [    1.984,     6.848]; seg_len2 =  4.864; step_len2 =  1.376; start_diff = -0.384; step_diff =  0.032; score = 27.3381;  228
[    2.176,     7.040]; seg_len1 =  4.864; step_len1 =  0.576; [    2.592,     7.424]; seg_len2 =  4.832; step_len2 =  0.608; start_diff = -0.416; step_diff = -0.032; score = 28.3951;  253
[    3.328,     8.000]; seg_len1 =  4.672; step_len1 =  1.152; [    3.584,     8.512]; seg_len2 =  4.928; step_len2 =  0.992; start_diff = -0.256; step_diff =  0.160; score = 21.8786;  191
[    4.160,     9.120]; seg_len1 =  4.960; step_len1 =  0.832; [    4.640,     9.504]; seg_len2 =  4.864; step_len2 =  1.056; start_diff = -0.480; step_diff = -0.224; score = 21.8605;  188
[    5.280,     9.920]; seg_len1 =  4.640; step_len1 =  1.120; [    5.792,    10.336]; seg_len2 =  4.544; step_len2 =  1.152; start_diff = -0.512; step_diff = -0.032; score = 18.2077;  128
[    6.144,    11.104]; seg_len1 =  4.960; step_len1 =  0.864; [    6.624,    11.584]; seg_len2 =  4.960; step_len2 =  0.832; start_diff = -0.480; step_diff =  0.032; score = 21.8634;  176
[    7.200,    12.096]; seg_len1 =  4.896; step_len1 =  1.056; [    7.744,    12.704]; seg_len2 =  4.960; step_len2 =  1.120; start_diff = -0.544; step_diff = -0.064; score = 20.6250;  165
[    8.448,    13.344]; seg_len1 =  4.896; step_len1 =  1.248; [    8.736,    13.664]; seg_len2 =  4.928; step_len2 =  0.992; start_diff = -0.288; step_diff =  0.256; score = 28.6697;  250
[    9.120,    13.984]; seg_len1 =  4.864; step_len1 =  0.672; [    9.664,    14.560]; seg_len2 =  4.896; step_len2 =  0.928; start_diff = -0.544; step_diff = -0.256; score = 24.4200;  200
[   10.272,    15.168]; seg_len1 =  4.896; step_len1 =  1.152; [   10.912,    15.808]; seg_len2 =  4.896; step_len2 =  1.248; start_diff = -0.640; step_diff = -0.096; score = 23.7723;  213
[   11.104,    16.064]; seg_len1 =  4.960; step_len1 =  0.832; [   11.520,    16.192]; seg_len2 =  4.672; step_len2 =  0.608; start_diff = -0.416; step_diff =  0.224; score = 17.5163;  134
[   12.096,    16.832]; seg_len1 =  4.736; step_len1 =  0.992; [   12.608,    17.568]; seg_len2 =  4.960; step_len2 =  1.088; start_diff = -0.512; step_diff = -0.096; score = 22.7169;  199
[   13.088,    18.048]; seg_len1 =  4.960; step_len1 =  0.992; [   13.568,    18.528]; seg_len2 =  4.960; step_len2 =  0.960; start_diff = -0.480; step_diff =  0.032; score = 26.0870;  198
